CUST_ID,UMAP1,UMAP2,UMAP3
C10231,2.1180792,2.222212,9.846857
C10727,0.4489655,5.509982,6.835764
C16806,3.8169422,11.829776,5.0843315
C17221,5.204991,8.715358,7.458709
C17588,5.476847,8.625812,6.232797
C17257,4.0718465,2.6468172,6.0097218
C12922,0.51439124,5.721759,8.314025
C11182,4.1108317,6.533079,7.9336143
C15896,-0.7889669,5.0478764,8.462908
C14734,2.1944292,2.489593,10.085473
C17005,0.22820564,4.090202,6.2247396
C10763,5.648121,1.6308504,6.030227
C13763,7.9380884,5.983368,7.4606075
C10645,4.492367,8.129088,9.27721
C13133,4.921568,3.6420033,5.5561223
C16760,4.1630917,5.4469433,5.661528
C16082,-0.11826685,4.2787848,6.0751762
C12728,-0.026910374,4.6150184,5.0387735
C15164,2.1018145,6.902782,8.001143
C18054,-0.43572512,4.7698994,7.766944
C18117,5.622986,3.1514916,6.405813
C13862,2.5280917,3.2496543,10.547945
C16226,3.7441845,6.5877643,7.582656
C14278,1.8245436,5.433503,6.5411525
C11950,4.0673714,6.9842367,5.0986257
C19184,2.6358683,2.12436,10.028071
C11342,2.6451108,7.205078,7.4820237
C18435,3.8522289,7.322706,8.845722
C13538,3.3039656,6.6439757,5.2178483
C17968,6.0246615,2.8469403,6.1500077
C12092,5.976813,5.8705945,9.334212
C13025,0.69224244,3.8498573,5.8465643
C16372,3.889401,7.169835,6.0700946
C15780,2.9621017,5.806233,5.5131245
C18263,1.1399568,3.2329457,10.142681
C12421,0.45548537,5.5808954,7.0246444
C11614,0.38289618,5.7349453,8.884804
C18116,3.8884146,5.663449,5.7090645
C11477,4.3079658,2.704806,6.435943
C14203,3.8750603,7.74367,5.177413
C13240,5.4682074,3.917387,5.7368417
C11850,4.357594,8.785788,5.5378995
C16485,0.7616172,4.052655,4.20275
C18596,5.2989855,8.606614,7.2208357
C15199,-0.89815956,4.333375,6.7972937
C17913,3.9197364,11.584116,5.2318645
C10175,3.9287426,6.832946,6.5337853
C14756,5.7586746,6.898946,9.317126
C16134,3.8028343,11.847526,5.0705132
C17175,7.5141225,6.0132265,7.0001426
C15313,4.2512674,8.189996,9.192496
C17042,5.135603,2.1901767,6.26103
C14558,4.663683,7.9453063,6.7730846
C17867,4.222269,7.44422,9.01894
C17300,0.08029092,4.1060524,5.354688
C11360,-0.4448869,5.478816,8.863427
C18408,1.8144706,2.397332,9.786723
C16465,4.0142865,7.1016507,9.077826
C10372,3.8033962,6.859538,6.3389835
C11553,4.725776,7.706993,6.5533996
C10562,6.951814,4.495944,7.55642
C17779,5.895772,2.2549586,6.4026937
C14896,7.1921926,6.4115763,6.82826
C18482,7.6464896,7.7034335,7.27237
C17733,7.264042,3.5301065,5.000169
C15907,7.170558,3.6146028,5.0972605
C18991,8.050244,4.7975016,8.094375
C18534,5.8497643,8.103344,8.29092
C15150,7.3244834,6.251185,6.9962554
C18750,5.554894,1.9103007,6.0123224
C15879,0.10166744,5.755464,7.378861
C13086,4.6120048,8.293873,7.1017857
C11474,3.5830317,5.20023,4.8525743
C15037,4.2607327,6.7131996,8.1221
C16616,4.4689283,8.179656,7.283157
C10859,4.4193363,8.019819,7.176819
C14453,2.9516122,2.0426543,9.813453
C16407,0.6945482,5.4399614,4.1301875
C13091,4.4308147,2.7911854,6.867094
C11697,-0.90933573,4.4570146,6.7169266
C17505,3.921286,6.515459,7.879863
C11784,5.885216,2.0743887,6.3855443
C17012,5.677462,2.3876393,6.1114936
C17622,0.26708767,4.5167246,7.213263
C16431,6.216194,7.6949925,6.6918178
C14923,4.821012,4.5684443,5.3716135
C16809,3.8156652,6.3732677,8.148992
C16938,4.2999578,8.224586,9.120213
C15610,2.7959688,5.6168904,5.232449
C18643,3.0848737,8.292359,6.8060412
C18060,4.251894,8.236426,9.246893
C10999,3.6350317,7.979695,5.497408
C18523,0.94005656,2.9828029,9.769834
C12232,4.902215,7.9904046,6.985403
C18206,5.403141,2.8938453,5.9034605
C10974,5.750547,2.24796,7.036125
C13557,4.1494775,6.4505935,8.08965
C13295,0.22872598,4.4800935,6.3216186
C13436,-0.36228645,4.3997173,6.8312273
C13243,0.25197783,6.731289,7.7491813
C12558,6.984162,7.470134,7.571546
C11439,1.1603364,5.737093,5.949016
C13474,7.2515645,7.1687045,7.8384256
C10745,1.2225422,5.133416,6.2449713
C15415,3.9998167,8.4671755,7.9723654
C13096,4.362278,6.321152,8.187327
C17587,0.017900173,4.74594,4.932293
C16000,3.8269305,6.3565655,5.459536
C12721,2.6221237,5.830675,4.6319695
C13955,5.512041,8.184736,7.5467396
C15412,4.497629,2.5789435,6.078958
C16909,6.40935,4.0560656,5.6317034
C10112,-0.09653877,5.907604,8.917543
C11415,5.905867,6.520083,9.570386
C15411,5.8734174,6.6827183,9.491198
C13124,0.13093255,5.72088,6.909765
C18955,2.869318,2.0783665,9.88041
C18078,6.9946423,4.6504216,7.609164
C10278,3.4798899,6.0144005,8.032665
C11977,3.5973406,7.4166403,8.282618
C10648,5.3500695,8.992497,6.096519
C19187,3.035278,3.0537355,10.594809
C14241,0.41082272,5.755683,7.027086
C16992,4.1491394,8.6255,5.388044
C14591,4.6195807,8.194325,7.0411086
C18193,7.029895,7.8696976,6.510312
C16682,3.8901176,7.1406813,4.6371217
C13410,3.8219407,7.0948806,5.7943482
C13359,0.4072058,6.8292766,7.527636
C18998,6.9226384,6.741419,6.4969764
C11743,0.4130824,6.385474,7.2531753
C10248,3.43396,7.2304068,5.246954
C10137,2.9983647,8.0966625,7.6929464
C10791,-0.05283423,6.169046,8.606022
C18195,2.744324,5.879293,4.53526
C17772,3.6315894,8.744503,6.89026
C16110,1.8485034,7.806113,7.586006
C18582,2.2741091,2.5350666,10.007255
C14097,5.2754474,3.9426434,5.5234103
C10887,1.7042253,7.7041483,7.898795
C16414,-0.84516764,4.863121,8.2262
C14265,3.4219818,6.7182713,4.6612453
C17176,5.562064,2.5923727,5.978372
C18746,2.650277,3.2085881,10.561536
C14577,-0.7342471,4.043398,5.7097116
C11162,4.956203,4.509264,5.5874734
C18561,4.004784,7.4819746,4.525738
C15515,0.40461007,4.883086,7.986409
C12608,5.9835773,6.625054,9.299711
C14951,4.7522273,7.8364687,6.3753915
C13279,5.829734,1.641551,6.1377244
C17075,5.4414825,2.106298,6.5562997
C17120,5.9630003,2.5049603,6.4249744
C15578,7.356764,7.311351,7.8910737
C17836,7.8403683,7.249162,7.843095
C14913,3.8883052,7.8249846,4.9758244
C13679,3.213966,7.5864296,7.3465705
C13650,4.101814,5.6471586,8.209045
C11106,7.831178,7.6569524,7.8851085
C12138,1.9592445,7.9501996,7.2203913
C18737,1.2229297,2.74636,9.700954
C16903,7.9789095,7.253757,7.893814
C17429,0.057930537,6.0550914,9.074971
C11863,4.242229,9.232156,6.464787
C10532,3.170711,7.319063,8.470009
C13888,-0.909401,4.4114337,7.0541077
C15400,2.5873084,2.231423,10.003886
C16167,0.07208249,4.9539914,8.222526
C11307,5.8938932,6.4407086,9.653573
C18900,1.3879467,2.7529576,10.226754
C14832,0.2067592,4.069662,6.2530165
C15300,0.6137637,5.3986807,4.158358
C18067,3.0757043,5.8428235,6.1202106
C10542,7.0565743,7.0833964,7.843838
C17299,6.6011577,3.8841565,5.814638
C15708,-0.63743526,4.2519865,5.886414
C15774,0.20942086,4.6515512,5.1749935
C13891,5.421349,7.9812717,8.909652
C11853,6.564887,3.3594391,6.738548
C10332,0.55563825,6.8925214,8.297608
C14052,-0.171739,4.4578,5.725621
C13338,4.2974524,7.868202,4.8436737
C12850,-0.26278594,4.932092,6.3468885
C11373,-0.60964686,5.053895,7.031758
C12282,4.265313,5.4151106,5.216279
C18192,5.35196,9.063835,5.894944
C17482,6.9146647,4.6050053,7.6066937
C14250,2.6958942,2.0972295,10.028261
C16499,-0.5600248,5.1832466,8.750968
C16060,4.577842,7.961522,6.8642197
C18201,1.2676629,2.8451557,10.254653
C18723,7.4572577,7.8382516,7.388154
C13718,1.21311,5.9580693,6.010892
C12417,1.003593,3.2937906,10.066531
C11539,3.2350066,5.788336,5.7844706
C11448,0.6346987,3.7983947,5.849905
C16595,0.18696061,6.4981833,7.753013
C10084,4.5948796,6.951946,5.2330585
C14494,3.6433268,7.3927584,8.589027
C15147,4.001935,5.4640446,5.7182055
C17626,0.62299305,5.41999,4.138164
C13534,3.3488343,8.536606,6.454969
C15865,5.995459,5.849772,9.047551
C15126,3.0412192,2.1110885,9.876957
C16443,7.839882,7.106789,7.495225
C13174,7.8400345,5.9986773,7.322304
C12205,4.042407,6.506846,8.270196
C10792,5.3497586,2.150577,6.304606
C17647,6.3620934,5.8530135,9.010974
C15181,5.564715,7.1428695,9.454359
C12362,4.4298315,6.728042,8.280576
C17145,0.3356236,5.6289926,8.954059
C12948,3.1580968,6.4399276,4.9892173
C12194,2.9667163,6.020658,4.7128816
C17565,6.274254,3.0382655,6.447242
C18901,5.7978477,8.747697,5.775592
C15728,2.0397363,7.9268413,7.191133
C17225,0.42679617,3.5492492,4.2448683
C15663,6.003707,6.744741,9.10343
C12582,7.0435696,7.958115,6.56871
C17490,3.1409543,5.6529875,4.7900095
C13007,0.5630259,4.5377507,6.617695
C16005,0.13404876,6.491933,8.468915
C10326,-0.623849,4.245185,6.694156
C17235,3.1215632,2.3281345,9.980976
C18151,-0.28299463,4.5741677,6.818759
C15952,5.0407624,4.0237474,5.5278306
C12530,5.0438795,3.6900928,5.626805
C13325,5.4023776,8.912504,5.850614
C17877,2.343492,5.6797104,6.992229
C13923,6.8309555,7.349074,6.5718884
C16449,1.4345709,2.5894723,9.894922
C18458,0.4275602,5.668837,9.022479
C12978,0.52813447,5.9658914,8.446167
C13797,7.089161,6.5552945,7.0943723
C16106,5.5256495,8.652848,6.2964025
C11704,4.177099,7.6883283,8.835286
C12319,0.30044183,6.1624646,7.9038534
C17338,0.62591565,3.877963,4.256725
C17265,0.35841936,5.921339,7.0815024
C13442,0.51032704,6.6235857,8.57554
C14500,0.18202902,4.575762,6.273405
C10111,5.227894,8.68784,6.3094277
C19159,3.479313,2.7486396,10.645991
C18107,7.3959827,3.3947732,4.8684697
C10534,4.81539,8.204479,9.051944
C18037,2.6471672,5.6853623,6.515736
C12373,0.012587887,5.7602077,7.3104854
C11165,4.0856094,6.33569,8.235918
C18989,7.3361497,3.4779682,4.9279656
C10297,0.90896934,5.347276,5.162931
C18837,5.8015633,8.7492285,5.7446103
C19149,3.9967003,2.9353487,10.850401
C14020,5.8714437,6.379885,9.667877
C12668,4.429901,5.703836,5.274767
C15153,2.8915958,5.8643394,5.2174697
C15371,5.842959,2.3056958,6.6784368
C16990,0.7687628,4.177173,4.2814283
C13946,7.589335,7.2869644,7.7332735
C15534,0.44814038,5.281468,7.7851853
C13377,-0.55247694,5.2741575,8.7655945
C10578,0.37965885,5.4424677,8.7312765
C14109,5.004559,7.7615376,9.370084
C11239,0.4336519,5.7948985,9.01374
C13056,-0.8234342,4.3411355,6.846196
C11227,6.097175,6.2397985,9.516162
C17009,5.2790976,9.030384,5.7620015
C11787,5.9981093,5.9326835,9.336244
C13644,4.145443,7.2207036,9.060732
C11703,5.7243485,7.0452175,9.307499
C11340,5.8279653,2.292629,6.360603
C14079,1.1996017,5.410444,5.799115
C16129,3.5845714,5.6104074,7.5022063
C14870,0.2054419,4.9281435,6.329707
C12557,4.413969,2.7958007,6.3118944
C16398,8.029301,4.8121343,8.061567
C11680,0.8670986,3.2735083,10.082228
C11746,6.218761,2.9800732,6.6783557
C11560,5.2429495,3.088578,5.7519455
C16759,7.692717,7.6978297,7.2129674
C10910,1.4038061,2.719952,10.23885
C12515,0.55801815,6.6019397,8.6874075
C18779,2.4471433,3.2551441,10.509363
C18810,7.74742,7.7407436,7.204923
C18828,6.5363636,3.3606079,6.562701
C18605,7.018796,7.9004507,6.594629
C15329,0.7008129,4.100825,6.0875373
C16791,4.5285983,8.781871,5.483124
C11419,4.0368977,7.111159,9.073337
C19121,1.6429607,2.5848312,9.8441925
C14710,1.7601092,7.804282,7.7940264
C19050,4.2576494,3.2621834,10.791835
C10757,2.9967263,6.1014676,4.678615
C10940,3.9973826,5.588553,5.6508684
C17424,5.24778,8.150802,6.8478804
C16537,8.0091715,6.2907925,7.596468
C17064,2.9596322,7.792246,6.5323763
C16793,4.5788264,8.975694,6.684493
C10591,3.829045,11.815003,5.097897
C18866,8.051778,5.749345,7.6644754
C12674,-0.44481674,5.725548,7.9222193
C16670,0.9813236,6.032612,5.940647
C12153,4.1794434,2.699053,6.498684
C11670,4.931927,7.68293,9.26176
C18281,3.9769423,2.8328648,10.805189
C15502,5.784862,8.734299,5.7335105
C12796,2.2362716,7.2053456,7.3580728
C14823,4.060638,7.5833206,4.578669
C12687,4.0584936,5.484899,5.4479446
C13089,3.9401758,7.4140224,7.620695
C18645,1.815208,5.393205,6.439095
C15919,2.707323,5.9329176,4.5352836
C10230,3.427489,6.123502,8.006608
C16550,4.8771005,8.347427,6.7699533
C15647,0.34346354,5.734387,6.9305625
C14903,1.1006393,4.9294505,5.351573
C12907,1.3152721,2.78098,10.201797
C11621,5.202319,7.899029,6.6703224
C17532,3.6273956,5.578658,7.4713874
C14727,4.178772,7.2854457,6.5587215
C14402,3.4535477,7.338406,8.456874
C14422,2.6760917,5.878335,4.580173
C14781,5.0995913,7.960745,6.5932345
C10610,5.304111,2.9055734,5.831289
C10606,0.43663374,6.786834,7.5096083
C10124,-0.49003685,4.9229007,6.6067
C14264,0.23555481,5.6168003,7.71365
C17050,4.9925346,3.5610182,5.5779514
C12322,4.4152827,5.4365807,5.547757
C12605,0.91406405,3.4971967,10.071835
C14055,0.17724836,6.220073,9.070291
C16930,0.19265066,5.2882657,7.569632
C11696,7.741706,7.4256787,8.010779
C11073,4.498433,8.218356,7.092187
C17753,3.403258,7.3657846,5.639886
C17801,7.542966,7.3310785,7.680678
C16501,0.45111537,5.0929546,8.004552
C16557,1.6979624,7.7800303,7.7581277
C15856,7.313712,5.876668,6.8548436
C14962,5.749541,7.127981,9.304545
C12216,1.2156487,5.362196,5.8165536
C10617,3.4882753,5.683309,5.80005
C11602,3.4168272,7.32873,5.297119
C15039,3.8973174,5.596843,7.580133
C11520,7.737627,4.5899134,8.1701
C13878,0.45029786,6.1470346,8.628227
C14910,-0.024751496,4.681101,4.9623075
C15156,0.61076915,3.9988365,4.8167415
C12559,0.6536663,7.216453,7.8649654
C16601,2.7021167,7.8392615,6.6090574
C13213,4.196756,8.098802,9.146694
C19157,3.349031,2.765934,10.620271
C16640,5.523881,2.1478026,5.9446054
C14218,4.0002656,8.090639,8.950272
C17803,3.5954638,8.6275215,6.5560327
C16158,-0.50898194,5.1955647,8.748068
C17617,2.6353233,2.1463032,9.99863
C12648,2.2803733,7.6843596,7.705947
C15549,5.7021966,2.4463818,6.175991
C12510,4.4019785,9.069221,6.615934
C11611,5.072245,7.858749,7.9688225
C14050,3.4721246,7.7795243,8.8894415
C15138,3.8868747,7.170327,6.0201645
C10315,0.32774922,6.3983583,8.458966
C13204,4.4039154,2.535537,6.35642
C11418,1.8574324,5.1044226,5.2696643
C18638,5.5099034,2.066677,6.156754
C16148,-0.1227212,5.176677,8.356638
C17872,2.8666399,8.086201,6.433555
C13249,1.9160678,7.958907,7.493727
C10329,5.7829475,8.749905,5.7422276
C18179,0.1826289,6.4828415,7.5941234
C10015,0.93915874,5.4965124,5.245358
C15539,2.7853632,5.8243504,4.5953617
C10080,3.6940434,5.9732184,8.216169
C18922,0.34071475,4.244418,6.950943
C14520,3.8153808,7.7925115,8.279808
C12991,4.240461,5.508221,5.640449
C15867,7.084325,7.366104,7.5876617
C16970,3.9413202,11.527026,5.264986
C11533,3.7084694,5.6119757,7.477973
C17118,4.2100186,8.153969,8.051556
C17045,5.3404427,8.150798,8.751396
C16041,6.370922,3.9170663,5.6276193
C13384,-0.623381,4.314702,6.029792
C10093,0.88645375,5.838497,5.6421084
C11297,5.7243795,2.2477157,6.9882727
C15012,0.46857196,5.997031,8.451904
C18449,6.4132195,4.144811,5.6194286
C14596,3.8572185,8.787443,6.5384164
C12589,4.2856555,8.3132515,9.321774
C12392,0.33656237,3.492682,4.3814077
C15073,0.615106,4.989043,7.906331
C18653,5.554231,2.2236657,5.9521646
C11113,3.7398808,6.3300767,5.8822527
C12657,7.122618,7.687891,7.7308216
C12884,5.538152,1.8534302,6.1041093
C13451,0.699912,3.9621253,4.180947
C17940,0.69381654,4.1872325,4.9801736
C14114,0.8173991,6.189822,6.1206264
C12372,4.7582016,8.303876,7.360891
C11777,3.2993553,6.2092624,7.9173956
C18254,-0.468105,4.737691,7.7640963
C11087,8.0272875,5.737311,7.640253
C12212,3.4555433,6.8880205,5.82678
C15839,3.661082,5.6002927,6.640179
C13354,7.3454747,4.727616,8.065846
C14976,6.0853033,7.829419,6.9264483
C19189,1.7202556,2.5500543,10.251937
C13793,3.30818,6.1160107,7.487151
C12643,7.697005,4.5726852,7.9563937
C10098,2.7247076,5.845198,4.8413887
C11270,5.9156632,6.464939,9.612406
C16009,1.8376848,5.1100097,5.272245
C16746,-0.019774713,4.585572,5.0856466
C12889,0.8212284,5.6403036,5.472198
C16080,1.359719,2.825083,10.117265
C14059,5.073428,7.757506,9.434855
C13494,0.1568157,5.620164,7.5080657
C12830,4.0892835,6.846257,7.058227
C17952,5.8514614,7.077795,9.193548
C18364,6.7927856,7.1346493,6.5141654
C11028,3.0115259,8.286876,7.092002
C11854,0.7653984,7.096889,7.543868
C16935,4.032698,7.1572514,9.014731
C14369,4.3797736,2.4326577,6.044181
C11669,5.2799997,7.0595455,9.383818
C14828,1.2719308,3.2716098,10.163154
C13789,4.8426414,4.428219,5.372913
C11196,7.364241,6.6585927,7.167663
C11395,3.5760605,7.862074,8.3046875
C10735,3.8116646,7.9131875,9.00508
C17310,2.8720021,8.171479,6.573547
C18276,7.243059,6.51855,6.7881026
C10038,2.8198714,7.681117,7.772983
C18762,7.7152505,5.9393144,7.147434
C10679,7.580623,4.583374,7.960008
C10020,3.8932858,11.661408,5.1931562
C16594,3.746758,7.34862,5.434659
C14749,0.566308,3.935062,4.7837033
C11757,0.39412978,5.4933367,6.894289
C15617,5.5399704,2.9654326,6.209472
C13047,0.32156935,5.7951064,6.7904935
C16121,5.2602015,8.653459,6.402981
C18003,-0.66182536,4.599252,7.3648663
C13461,-0.7352655,4.666377,6.706053
C15483,3.7460134,5.6086993,7.5714
C14822,0.71016514,4.0029836,4.2477145
C11515,0.029949399,4.70826,6.724471
C17336,6.6576247,4.021339,5.7172513
C11529,5.189624,7.0871444,8.596802
C15140,3.1921988,5.807239,6.242997
C10703,0.66740155,6.5131087,6.661803
C11622,3.1767666,7.783861,8.8311205
C11775,-0.7520791,5.04138,8.358772
C18740,3.8973017,3.409393,10.579955
C15171,3.8642414,7.080865,4.5500255
C18525,2.9312997,6.030839,4.6720023
C12321,5.8919106,6.6041365,9.574405
C10673,3.2542667,7.1718106,8.437266
C14229,-0.19020416,4.377037,6.2903786
C12141,0.38433683,4.7615237,7.9752994
C13875,4.0548816,7.343844,8.380255
C10357,3.785573,5.7588005,8.062265
C11241,4.1846495,7.312933,7.2362013
C12960,4.933048,4.3336935,5.4504743
C11092,3.7985737,5.5093746,7.4884067
C17832,-0.035281286,4.001919,6.197369
C13221,2.6033878,5.8290195,5.5720644
C17677,-0.4295503,5.1328244,8.663161
C15726,7.51105,7.380045,7.607464
C15425,4.4934597,3.1749918,6.28514
C11053,3.7854471,6.560759,6.2217073
C14257,4.4479284,8.183327,6.9000554
C17714,5.299282,8.663773,7.5567575
C12954,3.1432862,7.8068457,8.609802
C16881,4.2906795,7.8306093,8.646459
C17445,1.1491032,2.802196,9.529746
C12224,4.062776,7.309511,8.329952
C13185,1.1667851,3.0427203,10.203336
C10695,5.7085814,7.102293,9.353172
C14644,4.3557796,7.3171725,6.807892
C15256,3.5960839,8.234887,8.5752
C19137,2.838723,3.1798618,10.578246
C16789,0.60272086,4.1067176,4.976711
C11069,5.7359657,2.2299669,7.0288014
C11188,0.52495867,6.610656,7.5364857
C11036,4.974862,4.0711074,5.459145
C13085,3.9761705,8.052437,5.1798887
C15310,3.0486097,7.8234673,6.482341
C16354,2.0883765,5.6520157,6.987364
C10344,5.5465703,6.804998,9.20558
C13458,6.443516,3.5579236,5.783453
C18433,7.722268,4.7210274,8.041451
C16730,4.219645,2.7147515,6.4427843
C19091,4.2248063,3.20049,10.826926
C14101,0.98079664,3.6552024,9.812254
C18134,5.909264,1.5726852,6.143477
C17615,2.9012446,2.0392342,9.817253
C14852,1.5316813,2.5438254,10.168293
C11959,3.9471714,5.4794044,5.5479383
C11420,4.745262,7.846814,7.143034
C16580,0.31754124,4.62545,7.263985
C17309,2.9082556,5.813736,5.6416287
C11677,4.358477,7.9982095,7.4338074
C15374,2.5270715,5.391568,5.36983
C15652,-0.07521655,4.2400537,7.0536976
C17811,6.530893,3.3391087,6.5872
C14899,4.0265265,2.699985,6.0366745
C14045,0.20347422,4.755295,5.978298
C14638,-0.8989798,4.430668,6.7488155
C12055,0.065880924,4.781935,4.9281363
C10024,2.0402155,7.3128123,7.874836
C18739,-0.18709378,4.228299,7.1963553
C15976,4.692747,2.108758,6.0813017
C14328,1.9217242,7.9477415,7.295157
C13868,6.0742364,6.63498,9.014974
C13120,4.276699,5.3463244,5.223706
C18578,5.020297,7.8108478,7.2118196
C18341,0.7122911,3.9631288,4.162314
C13694,-0.35541627,5.612334,8.953133
C16667,6.9332685,7.274748,6.649883
C17152,-0.67006415,4.884868,7.97844
C14729,3.9173126,7.7300644,4.7691855
C10649,4.249025,7.506123,9.279409
C16704,-0.28201896,4.9071283,6.422282
C12529,1.9389529,2.2785873,9.778948
C19115,2.7315333,3.147573,10.545124
C17184,2.570469,8.053183,6.569594
C12685,4.66431,8.812309,5.6670547
C12875,0.52861893,5.27799,5.596305
C10518,-0.12836991,4.911715,6.211895
C16967,7.0304284,7.8769093,6.539496
C14436,0.27253777,6.6222367,7.7343583
C17718,7.406934,5.919587,6.89677
C10034,3.8631487,5.5474367,7.4068027
C18913,0.42020136,3.5419679,4.2447824
C10052,0.23036604,5.6689353,9.132126
C19033,7.9916987,4.7489123,8.099397
C12834,0.6516114,6.6635237,7.60075
C17947,4.726291,5.047519,5.2753873
C13823,7.8117447,7.621568,7.3311133
C15152,0.47013924,5.0306683,6.3974323
C10522,4.1197424,8.7424,6.6360316
C11786,4.537805,7.8251443,9.212528
C16279,7.7820883,7.3088903,7.9456096
C15457,3.785937,5.1423755,4.843907
C13217,0.121653125,5.589738,7.641862
C12655,6.386408,5.6690516,8.703882
C17516,4.0307264,7.0073953,8.057814
C18312,6.474296,3.166598,6.611787
C14267,3.08785,5.8101892,6.192834
C10254,6.309706,3.1422806,6.3858666
C10155,4.9522476,7.929105,6.9658556
C11828,4.160227,9.820956,5.9695454
C10191,5.823175,8.046404,6.9273195
C11452,5.126945,7.2596197,8.459685
C11567,1.8441783,5.5233665,6.5200043
C11122,3.9194846,8.128263,8.207142
C15338,0.10891614,4.1986375,7.177283
C16874,5.136934,8.484404,6.7961597
C18813,2.4714737,3.237115,10.543368
C18036,6.576879,3.5998144,6.25142
C12520,0.18918802,6.18921,9.075841
C13991,3.9736521,7.685193,4.8147764
C10574,4.623761,7.9284368,9.584949
C15186,4.1156297,7.4180975,8.121971
C16039,5.9248533,2.5481074,6.342605
C10018,6.4585214,3.4679623,6.222023
C11672,3.4406831,7.4976063,8.774147
C17638,5.909842,1.513022,5.9945207
C14152,0.525612,4.844788,5.946663
C11659,8.03002,6.469229,7.634929
C16187,0.6553461,3.9756172,4.484768
C11716,0.76450235,4.229791,4.2784133
C14612,2.548696,3.2318094,10.552676
C18855,6.403717,3.487511,6.131592
C11650,4.7070446,8.992026,5.846211
C12596,3.4760914,7.480594,7.947569
C12316,0.37219733,4.5092735,7.288061
C19100,3.0209002,2.6733415,10.265978
C16628,1.9966856,7.845543,7.3848867
C13999,0.22314923,4.7186127,8.006044
C10174,4.379802,9.220335,6.0568094
C16890,-0.63161075,5.0646787,8.545394
C18755,7.5140247,5.831579,6.929854
C12257,0.47363576,6.5790997,7.224281
C14476,7.495781,7.1977563,7.683384
C16244,1.1883379,2.8987925,10.176011
C12741,4.1585426,7.7410364,8.559403
C10818,0.4979354,5.6769843,9.071334
C12966,5.0997324,3.679067,5.578523
C18095,1.9597579,2.2235973,9.593649
C13154,0.1287144,4.5016418,5.281881
C10509,5.5261407,6.898247,9.233914
C12774,2.444017,7.533166,8.084743
C12219,1.4207914,3.431591,10.117384
C15124,4.4963923,8.938668,5.962655
C12025,-0.5056301,5.344222,8.818805
C17006,5.8558,7.1244273,9.197016
C17013,2.6889708,7.2137675,6.8533993
C12527,4.0570908,6.8057947,8.611044
C13691,5.4089227,2.9052238,5.859459
C19182,0.9183795,3.5604951,10.054309
C18925,3.831302,11.7747965,5.120523
C11984,3.5906796,7.462182,5.351961
C14631,0.1729439,6.589723,7.7365456
C13188,3.1886642,5.799131,5.316143
C14867,1.173585,5.2399373,6.1325536
C10794,4.897452,4.2895684,5.4025855
C11798,4.2233157,7.6192737,8.454041
C13982,3.9252641,5.6333284,8.128544
C10365,5.8991914,1.9654897,6.42133
C14998,4.2479367,5.350141,5.222834
C13809,4.12441,5.424627,5.5351224
C18794,6.4882727,3.7770214,5.5853066
C17634,6.854245,7.321467,6.5918803
C18466,7.404865,7.803363,7.2448773
C15355,0.46443668,3.829937,4.862375
C16252,3.9538567,6.3758,7.7516427
C11119,4.970381,6.8030605,8.658374
C14416,0.93120897,6.3004227,6.3220906
C12587,-0.3033169,4.40145,7.2210665
